 - %;
Referência:; 04/2010;
Dia;Faturamento;Impostos;Royalties;Propaganda
1;6.874,58;;0,00;137,49;
#89537/5;52,50;
#74459/1;162,00;
#92355/1;81,00;
#92361/37;85,60;
#92671/1;80,00;
#92703/1;90,00;
#92713/1;82,80;
#92797/1;50,00;
#92774/1;100;
#92797/2;20,00;
#92797/3;50,00;
#92797/4;30,00;
#92797/5;50,00;
#92797/6;50,00;
#92797/7;25,00;
#92839/1;129,8;
#92847/2;119,00;
#92784/7;66,50;
#92784/8;61,75;
#92784/9;104,50;
#92784/10;66,50;
#92784/11;61,75;
#92784/12;104,50;
#92914/1;83,72;
#92992/1;168,3;
#92934/1;100;
#93342/1;40,00;
#93016/1;58,00;
#93043/1;90,00;
#93047/1;108,00;
#93330/1;130,00;
#93402/1;97,00;
#93597/1;80,00;
#93479/1;30,00;
#93485/1;90,00;
#93479/2;30,00;
#93578/1;173,00;
#93705/1;85,00;
#93789/1;107,26;
#93845/1;80,00;
#93908/1;75,00;
#94207/1;275,00;
#94207/2;67,10;
#94207/3;71,50;
#94207/4;78,10;
#94241/1;40,00;
#94242/1;41,40;
#94318/1;76,40;
#94325/1;140,00;
#94333/1;21,34;
#94333/2;21,34;
#94333/3;21,34;
#94333/4;21,34;
#94333/5;21,34;
#94390/3;45,00;
#94390/2;45,00;
#94390/1;45,00;
#94390/4;45,00;
#94434/1;30,00;
#94849/1;110,00;
#90374/1;420,00;
#90033/1;87,00;
#85830/1;50,00;
#85806/1;50,00;
#84648/4;104,00;
#84648/3;104,00;
#84272/1;110,00;
#92233/1;183,00;
#92219/20;104,62;
#92219/19;30,00;
#92219/18;61,36;
#92219/17;104,62;
#92219/16;104,62;
#92219/15;61,36;
#92219/14;30,00;
#92219/13;104,62;
#92219/12;85;
#92219/11;41,36;
#92219/10;84,62;
#92219/9;30,00;
#92219/8;30,00;
#92219/7;84,62;
#92219/6;41,36;
#92219/5;84,62;
#92154/1;54,50;
#92140/8;40,00;
#92140/7;40,00;
#92140/6;40,00;
#92140/5;40,00;
#92140/4;40,00;
#92140/3;40,00;
#92140/2;40,00;
#92140/1;40,00;
#91957/22;10,00;
#91957/20;59,00;
#91957/19;59,00;
#91957/18;59,00;
#91957/17;59,00;
#91957/16;59,00;
#91957/15;59,00;
#91957/14;59,00;
#91957/13;59,00;
#91957/12;59,00;
#91957/11;59,00;
#91957/10;59,00;
#91957/9;59,00;
#91957/8;59,00;
#91957/7;59,00;
#91957/6;59,00;
#91957/5;59,00;
#91957/4;59,00;
#91957/3;59,00;
#91957/2;59,00;
#91957/1;59,00;
#91916/10;35,00;
#91916/9;25,00;
#91916/8;40,00;
#91916/6;35,00;
#91916/5;35,00;
#91916/4;25,00;
#91916/3;40,00;
#91762/3;81,71;
#91695/1;163,9;
#91566/1;198,00;
#91538/1;130,00;
#91482/1;90,00;
#92337/1;86,02;
#91032/1;300,00;
#90949/1;97,94;
#90488/1;174,00;
#90071/1;110;
#84648/1;125,00;
#92282/1;132,00;
#92337/2;44,00;
#92337/3;44,00;
#92337/4;86,02;
#92337/5;86,02;
#92337/6;44,00;
#92337/7;88,00;
#92337/8;86,02;
#92337/9;86,02;
#92337/10;88,00;
#93478/4;132,00;
#92372/1;215,00;
#92394/1;185;
#92400/1;130,00;
#92400/2;130,00;
#92495/1;180,00;
#92633/1;330,00;
#92361/17;78,20;
#92655/1;41,40;
#91916/11;35,00;
#92757/6;25,55;
#92757/7;25,55;
#92757/8;25,55;
#92757/9;25,55;
#92784/1;38,00;
#92784/2;38,00;
#92784/3;33,25;
#92784/4;38,00;
#92784/5;38,00;
#92784/6;33,25;
#92872/16;70,00;
#92872/1;35,00;
#92872/2;35,00;
#92872/3;35,00;
#92872/4;50,00;
#92872/5;50,00;
#92872/6;50,00;
#92872/7;50;
#92872/8;110,00;
#92872/9;110,00;
#92872/10;24,50;
#92872/11;35,00;
#92872/12;35,00;
#92872/13;55,00;
#92872/14;55,00;
#92872/15;55,00;
#92950/4;30,00;
#93313/1;129,35;
#93470/1;103,15;
#93664/1;80,00;
#93478/1;86,02;
#93478/2;44;
#93481/1;110;
#93478/3;86,02;
#93488/1;130,42;
#93516/1;30,00;
#93516/2;30,00;
#93516/3;25,00;
#93563/1;123,00;
#93630/1;118,00;
#93715/1;82,5;
#94094/2;28,40;
#94094/1;28,40;
#94094/3;36,64;
#94094/4;20,44;
#94402/1;47,50;
#94442/1;70;
#94429/2;100,00;
#94454/1;75;
#94466/1;150,00;
#94490/1;45,00;
#94496/1;45,00;
#94496/2;45,00;
#94496/3;45,00;
#95050/1;50,00;
#95157/1;12,00;
#95135/1;12,00;
#92106/34;69,00;
#93518/1;30,00;
#93518/2;28,00;
#93518/3;15,00;
