0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    04082014                                                                                                                                                                                                                                                                                                                                                                                                000001
1022421006650DIR_CREDIT     PASSAREDO T. AEREOS LTDA-EM REC.JUD     007575651000159VRG LINHAS AEREAS S/A                   AV VINTE DE JANEIRO, S/N GALEAO         RIO DE JANEIRO                          21941570RJ4862300001                                                                                                                                          012054810           141220100000018045            26112012000403Transporte de passageiros portadores de contratos de transporteadquiridos da empresa vendedora e sua respectiva bagagem, em voos regulares ede reforço da empresa transportadora.                                                               000512777000135313860-1      000002
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           075717355000367USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR486490000106586771264169-2-2  25072014900BRADESCO S/A        3009201400000000031053436CC                                                                                                                                                                                                                                                                                                                                                                                           313860-2      000003
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           075717355000367USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR486490000206586780264051-3-3  25072014900BRADESCO S/A        3110201400000000020386877CC                                                                                                                                                                                                                                                                                                                                                                                           313860-3      000004
1018421034834COBR_CAUC_BIC  LACEL LATICINIOS CERES LTDA             023439441001323ARMAZEM MATEUS LTDA                     AV ENG.EMILIANO MACIEIRA, 5 - DEPOSITO  SAO LUIS                                65095602MA486500000103790511034123      29072014042SAO LUIS            0209201400000000016915500CC                                                                                                                                                                                                                                                                                                                                                                                           313860-4      000005
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      029850302000130PENA FIEL BAR LTDA.                     R. GAVIAO PEIXOTO,182 LOJA 110ICARAI    NITEROI                                 24230101RJ486970000402905745138555-03-  30062014014RIO DE JANEIRO      1809201400000000000044263CC                                                                                                                                                                                                                                                                                                                                                                                           314065-66     000075
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      030290688000152FERRAGENS RAMADA LTDA.                  R. PEDRO JORIO,365COELHO NETO           RIO DE JANEIRO                          21530030RJ486980000102905613138632-02-  30062014014RIO DE JANEIRO      0309201400000000000057168CC                                                                                                                                                                                                                                                                                                                                                                                           314065-67     000076
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      030290688000152FERRAGENS RAMADA LTDA.                  R. PEDRO JORIO,365COELHO NETO           RIO DE JANEIRO                          21530030RJ486980000202905737138632-03-  30062014014RIO DE JANEIRO      1809201400000000000057168CC                                                                                                                                                                                                                                                                                                                                                                                           314065-68     000077
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      030290688000152FERRAGENS RAMADA LTDA.                  R. PEDRO JORIO,365COELHO NETO           RIO DE JANEIRO                          21530030RJ486980000302905559138632-01-  30062014014RIO DE JANEIRO      1908201400000000000057169CC                                                                                                                                                                                                                                                                                                                                                                                           314065-69     000078
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      010695873000110LUIZ CARLOS TAVARES ME.                 R. ADOLFO JOSE DE ASSIS,639 SL.01 CORDEIITAJAI                                  88310150SC486990000102905591138605-01-  30062014900BRADESCO S/A        1908201400000000000059612CC                                                                                                                                                                                                                                                                                                                                                                                           314065-70     000079
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      010695873000110LUIZ CARLOS TAVARES ME.                 R. ADOLFO JOSE DE ASSIS,639 SL.01 CORDEIITAJAI                                  88310150SC486990000202905630138605-02-  30062014900BRADESCO S/A        0309201400000000000056378CC                                                                                                                                                                                                                                                                                                                                                                                           314065-71     000080
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      010695873000110LUIZ CARLOS TAVARES ME.                 R. ADOLFO JOSE DE ASSIS,639 SL.01 CORDEIITAJAI                                  88310150SC486990000302905711138605-03-  30062014900BRADESCO S/A        1809201400000000000056378CC                                                                                                                                                                                                                                                                                                                                                                                           314065-72     000081
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      005107433000164PAPELARIA JARDIM LGO DO MACHADO LT      LRG DO MACHADO,8 LOJAS B C J CATETE     RIO DE JANEIRO                          22221020RJ487000000102894883138204-00-  25062014014RIO DE JANEIRO      2108201400000000000190683CC                                                                                                                                                                                                                                                                                                                                                                                           314065-73     000082
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      003295548000447NEUZA DE ASSIS DE SOUZA-EPP             R. VICE-PREF.LUIZ C.GARCIA,815-SL2COST  JOINVILLE                               89219370SC487010000102889146137891-02-  20062014046FLORIANOPOLIS       2408201400000000000061917CC                                                                                                                                                                                                                                                                                                                                                                                           314065-74     000083
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      003295548000447NEUZA DE ASSIS DE SOUZA-EPP             R. VICE-PREF.LUIZ C.GARCIA,815-SL2COST  JOINVILLE                               89219370SC487010000202889138137891-01-  20062014046FLORIANOPOLIS       0908201400000000000070755CC                                                                                                                                                                                                                                                                                                                                                                                           314065-75     000084
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      003295548000447NEUZA DE ASSIS DE SOUZA-EPP             R. VICE-PREF.LUIZ C.GARCIA,815-SL2COST  JOINVILLE                               89219370SC487010000302889154137891-03-  20062014046FLORIANOPOLIS       0809201400000000000061917CC                                                                                                                                                                                                                                                                                                                                                                                           314065-76     000085
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      018855990000105RIGEL COMERCIO E SERVICOS LTDA.         R. ADAO REITZ,399CENTRO                 ANTONIO CARLOS                          88180000SC487020000102914400139262-01-  03072014900BRADESCO S/A        1609201400000000000080529CC                                                                                                                                                                                                                                                                                                                                                                                           314065-77     000086
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      018855990000105RIGEL COMERCIO E SERVICOS LTDA.         R. ADAO REITZ,399CENTRO                 ANTONIO CARLOS                          88180000SC487020000202914442139262-03-  03072014900BRADESCO S/A        1610201400000000000070469CC                                                                                                                                                                                                                                                                                                                                                                                           314065-78     000087
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      018855990000105RIGEL COMERCIO E SERVICOS LTDA.         R. ADAO REITZ,399CENTRO                 ANTONIO CARLOS                          88180000SC487020000302914426139262-02-  03072014900BRADESCO S/A        0110201400000000000070469CC                                                                                                                                                                                                                                                                                                                                                                                           314065-79     000088
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      010901069000140A.S AMARO DIST.DE PROD.DE LIMP.E U      R. NAPOLEAO ESTEVES,369 A SALDANHA MARINPETROPOLIS                              25640250RJ487030000102914434139250-02-  03072014014RIO DE JANEIRO      0110201400000000000060714CC                                                                                                                                                                                                                                                                                                                                                                                           314065-80     000089
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      010901069000140A.S AMARO DIST.DE PROD.DE LIMP.E U      R. NAPOLEAO ESTEVES,369 A SALDANHA MARINPETROPOLIS                              25640250RJ487030000202914469139250-03-  03072014014RIO DE JANEIRO      1610201400000000000060714CC                                                                                                                                                                                                                                                                                                                                                                                           314065-81     000090
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      010901069000140A.S AMARO DIST.DE PROD.DE LIMP.E U      R. NAPOLEAO ESTEVES,369 A SALDANHA MARINPETROPOLIS                              25640250RJ487030000302914370139250-05-  03072014014RIO DE JANEIRO      1109201400000000000045763CC                                                                                                                                                                                                                                                                                                                                                                                           314065-82     000091
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      010901069000140A.S AMARO DIST.DE PROD.DE LIMP.E U      R. NAPOLEAO ESTEVES,369 A SALDANHA MARINPETROPOLIS                              25640250RJ487030000402914388139250-01-  03072014014RIO DE JANEIRO      1609201400000000000060716CC                                                                                                                                                                                                                                                                                                                                                                                           314065-83     000092
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      019867464000470LS GUARATO LTDA.                        AV. ALEXANDRE BARBOSA,1760MERCES        UBERABA                                 38060200MG487040000102940613139505-02-  09072014900BRADESCO S/A        0209201400000000000079566CC                                                                                                                                                                                                                                                                                                                                                                                           314065-84     000093
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      019867464000470LS GUARATO LTDA.                        AV. ALEXANDRE BARBOSA,1760MERCES        UBERABA                                 38060200MG487040000202940648139505-03-  09072014900BRADESCO S/A        1209201400000000000079566CC                                                                                                                                                                                                                                                                                                                                                                                           314065-85     000094
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      019867464000470LS GUARATO LTDA.                        AV. ALEXANDRE BARBOSA,1760MERCES        UBERABA                                 38060200MG487040000302940591139505-01-  09072014900BRADESCO S/A        2308201400000000000079568CC                                                                                                                                                                                                                                                                                                                                                                                           314065-86     000095
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      005160909000120COZINHA INDUSTRIAL LTDA.                AV.A,608 LO 000 AR A1 CAMPO DO PIRES    NOVA LIMA                               34000000MG487050000102894905138175-00-  25062014019BELO HORIZONTE      0109201400000000000449049CC                                                                                                                                                                                                                                                                                                                                                                                           314065-87     000096
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060000100005109479         26052014900BRADESCO S/A        3009201400000000002310000CC                                                                                                                                                                                                                                                                                                                                                                                           314065-88     000097
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060000200005150005367      28052014900BRADESCO S/A        3009201400000000000207200CC                                                                                                                                                                                                                                                                                                                                                                                           314065-89     000098
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060000300005257006230      28052014900BRADESCO S/A        0408201400000000000044604CC                                                                                                                                                                                                                                                                                                                                                                                           314065-90     000099
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060000400005281000000559   28052014900BRADESCO S/A        1508201400000000000297929CC                                                                                                                                                                                                                                                                                                                                                                                           314065-91     000100
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060000500004765000000306   02052014900BRADESCO S/A        2008201400000000001239500CC                                                                                                                                                                                                                                                                                                                                                                                           314065-92     000101
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060000600004773000000307   02052014900BRADESCO S/A        3009201400000000001565300CC                                                                                                                                                                                                                                                                                                                                                                                           314065-93     000102
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060000700005044556         26052014900BRADESCO S/A        2208201400000000000478440CC                                                                                                                                                                                                                                                                                                                                                                                           314065-94     000103
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060000800005095435D        26052014900BRADESCO S/A        3008201400000000003342536CC                                                                                                                                                                                                                                                                                                                                                                                           314065-95     000104
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060000900005176005591      28052014900BRADESCO S/A        0808201400000000000207315CC                                                                                                                                                                                                                                                                                                                                                                                           314065-96     000105
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001000005214000000516   28052014900BRADESCO S/A        2208201400000000000305997CC                                                                                                                                                                                                                                                                                                                                                                                           314065-97     000106
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001100005222006748      28052014900BRADESCO S/A        2608201400000000000039000CC                                                                                                                                                                                                                                                                                                                                                                                           314065-98     000107
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001200005974344/407     30072014900BRADESCO S/A        3009201400000000001052437CC                                                                                                                                                                                                                                                                                                                                                                                           314065-99     000108
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001300005036434         26052014900BRADESCO S/A        3008201400000000001026362CC                                                                                                                                                                                                                                                                                                                                                                                           314065-100    000109
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001400005061435A        26052014900BRADESCO S/A        1108201400000000003342536CC                                                                                                                                                                                                                                                                                                                                                                                           314065-101    000110
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001500005079435B        26052014900BRADESCO S/A        1808201400000000003342536CC                                                                                                                                                                                                                                                                                                                                                                                           314065-102    000111
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001600005206006751      28052014900BRADESCO S/A        1908201400000000000241737CC                                                                                                                                                                                                                                                                                                                                                                                           314065-103    000112
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001700005249005952      28052014900BRADESCO S/A        3009201400000000000029000CC                                                                                                                                                                                                                                                                                                                                                                                           314065-104    000113
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001800005290000000586   28052014900BRADESCO S/A        1908201400000000001262100CC                                                                                                                                                                                                                                                                                                                                                                                           314065-105    000114
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060001900005087435C        26052014900BRADESCO S/A        3008201400000000003342536CC                                                                                                                                                                                                                                                                                                                                                                                           314065-106    000115
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002000005184000000570   28052014900BRADESCO S/A        1208201400000000000514300CC                                                                                                                                                                                                                                                                                                                                                                                           314065-107    000116
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002100005273000000556   28052014900BRADESCO S/A        1208201400000000000478440CC                                                                                                                                                                                                                                                                                                                                                                                           314065-108    000117
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002200005192006750      28052014900BRADESCO S/A        1508201400000000000213876CC                                                                                                                                                                                                                                                                                                                                                                                           314065-109    000118
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002300005265006763      28052014900BRADESCO S/A        0808201400000000000460125CC                                                                                                                                                                                                                                                                                                                                                                                           314065-110    000119
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002400005435000000237   06062014900BRADESCO S/A        3009201400000000000536500CC                                                                                                                                                                                                                                                                                                                                                                                           314065-111    000120
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002500005052559         26052014900BRADESCO S/A        2908201400000000000297929CC                                                                                                                                                                                                                                                                                                                                                                                           314065-112    000121
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002600005419000000342   06062014900BRADESCO S/A        3008201400000000000515036CC                                                                                                                                                                                                                                                                                                                                                                                           314065-113    000122
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002700005427000000127   06062014900BRADESCO S/A        3008201400000000000265260CC                                                                                                                                                                                                                                                                                                                                                                                           314065-114    000123
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002800005168005583      28052014900BRADESCO S/A        0408201400000000000212500CC                                                                                                                                                                                                                                                                                                                                                                                           314065-115    000124
1022421010720COBR_CAUC_COR  GUERRA E GUERRA TRANSPORTES LTDA        002003402002461ADM DO BRASIL LTDA                      AV SENADIR ATILIO FONTANA,SN-SALA2      RONDONOPOLIS                            78745800MT487060002900005231005786      28052014900BRADESCO S/A        2908201400000000000524320CC                                                                                                                                                                                                                                                                                                                                                                                           314065-116    000125
9000124                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000126
